dataset,chunk_size,condition,n_runs,point_f1_fixed,point_f1,event_f1pa,runtime_sec,token_count_detection,token_count_repair,token_count_review,point_f1_fixed_std,point_f1_std,event_f1pa_std,runtime_sec_std,token_count_detection_std,token_count_repair_std,token_count_review_std
88cf3a776ba00e7c,100,evidence,3,0.039869748400093614,0.11104161655039693,0.02642561724526866,43.55450932184855,1749.3333333333333,0.0,0.0,0.016487955844254283,0.0,0.01881194589817808,17.423731354325604,150.69689962157668,0.0,0.0
88cf3a776ba00e7c,100,fixed,3,0.2103593384123755,0.22786101547388993,0.37241569928137047,43.70520997047424,2723.3333333333335,0.0,0.0,0.14434684282272509,0.12702095435005603,0.13518527277736445,26.363526789060497,123.91484531277473,0.0,0.0
88cf3a776ba00e7c,250,evidence,3,0.11366903808520089,0.15068291026866654,0.005551153864913493,71.28473218282063,2164.6666666666665,0.0,0.0,0.08302109553245912,0.034898327719696524,0.001954184781838179,21.033655740359013,59.25275427259807,0.0,0.0
88cf3a776ba00e7c,250,fixed,3,0.08125940297884841,0.11468128868701363,0.020191255328476654,181.18637720743814,4443.333333333333,0.0,0.0,0.02956873295582223,0.005147273698194792,0.0035968095767306787,25.58788061391924,210.78003278826537,0.0,0.0
88cf3a776ba00e7c,500,evidence,3,0.20808423250596614,0.2450981046894318,0.01535816910059982,70.17637467384338,2771.0,0.0,0.0,0.16409981641743956,0.1194353249483773,0.014945235160336781,15.559527883297491,97.1219165104698,0.0,0.0
88cf3a776ba00e7c,500,fixed,3,0.18998413580045231,0.22699800798391795,0.18953855434629888,67.06844902038574,6444.333333333333,0.0,0.0,0.15818885788506315,0.11704559448437317,0.13472983867102858,19.411384050777368,144.79717615417167,0.0,0.0
88cf3a776ba00e7c,1000,evidence,3,0.09715334110675077,0.16253838266480364,0.04919168260072505,95.6224296092987,4262.333333333333,780.6666666666666,0.0,0.11953123659953276,0.0728274250573492,0.059600375911585096,47.68469102947682,75.5263015261718,1104.0293876925962,0.0
88cf3a776ba00e7c,1000,fixed,3,0.06625935451506268,0.12669193271885199,0.06501892010499183,114.0395580927531,11488.666666666666,0.0,0.0,0.06696815491378945,0.022132889380856054,0.05823049295230954,22.872962916757153,323.27319028270125,0.0,0.0
88cf3a776ba00e7c,2500,evidence,3,0.18618316696495368,0.18640958631762,0.05624604761660587,152.50482885042825,7938.666666666667,0.0,0.0,0.058969980177032026,0.05895642038768032,0.05485642796644986,27.4840111829295,154.5063824643572,0.0,0.0
88cf3a776ba00e7c,2500,fixed,3,0.29136191119616545,0.3062184890679054,0.024478124393918877,217.57638589541116,26731.0,0.0,0.0,0.10752513659520284,0.11100530727571556,0.018125220844300908,46.416685989257864,66.6783323126786,0.0,0.0
88cf3a776ba00e7c,5000,evidence,3,0.6066432331598779,0.6332988098872444,0.15479302832243982,161.5927596092224,14284.666666666666,0.0,0.0,0.1197646075997703,0.12072655395929704,0.06604236571139752,52.58985614015901,107.90530828256577,0.0,0.0
88cf3a776ba00e7c,5000,fixed,3,0.3536747485848658,0.39433908640376647,0.1382571534745446,424.15964643160504,51983.666666666664,0.0,0.0,0.22103137170675957,0.2764365067540276,0.09159624922828435,255.84642972364915,156.64893516678907,0.0,0.0
9ee5879409dccef9,100,evidence,6,0.006672226855713094,0.07820299500831947,0.0033551297149368533,46.20954839388529,1780.6666666666667,0.0,0.0,0.014919552810674159,0.0,0.004037983854597143,9.04436504862063,71.8486062649946,0.0,0.0
9ee5879409dccef9,100,fixed,3,0.04157478437140078,0.07988007832104374,0.40425287356321793,42.93500749270121,2659.0,0.0,0.0,0.03214276824928601,0.002371753966084259,0.10907906688547832,14.623132293192745,85.32682266829504,0.0,0.0
9ee5879409dccef9,250,evidence,6,0.0011063305351613555,0.07820299500831947,0.001563618345844532,91.30905950069427,2299.8333333333335,0.0,0.0,0.0023213921145052744,0.0,5.5079497990022685e-05,50.67539967307806,86.94714230816074,0.0,0.0
9ee5879409dccef9,250,fixed,3,0.38734408091476236,0.38734408091476236,0.12227698307755974,114.15156308809917,4094.6666666666665,0.0,0.0,0.22040118829897865,0.22040118829897865,0.0838887656423873,41.37173108303307,207.14621781619755,0.0,0.0
9ee5879409dccef9,500,evidence,6,0.1274938112137662,0.16386375216658233,0.002445807372824369,87.51267596085866,2838.5,0.0,0.0,0.15187177311268868,0.12615881198904372,0.000990612106626614,26.22067536493522,136.03155271235175,0.0,0.0
9ee5879409dccef9,500,fixed,3,0.24277457368668862,0.2630523296737463,0.6578628389154699,39.83100668589274,6477.0,0.0,0.0,0.2120985616758453,0.19148568010112416,0.09306518433558876,7.910384768072303,53.466500415369126,0.0,0.0
9ee5879409dccef9,1000,evidence,6,0.20332365369719602,0.20445344019778136,0.03175628837366927,74.22042373816173,4231.166666666667,0.0,0.0,0.10132598889548163,0.10313852847827268,0.04654848897766233,21.994320062116966,161.269357149942,0.0,0.0
9ee5879409dccef9,1000,fixed,3,0.2904191267953691,0.330155708462606,0.6742891712038712,47.42010227839152,11519.666666666666,0.0,0.0,0.38441425924963,0.35631494444375417,0.16001629614468585,1.2512737169826493,75.1413482858953,0.0,0.0
9ee5879409dccef9,2500,evidence,3,0.09207859404501939,0.09317179352335353,0.04581375447214456,167.35983761151633,8081.666666666667,0.0,0.0,0.012672018276519289,0.013568994740400861,0.06188595829569721,38.897450160866256,157.63318883478257,0.0,0.0
9ee5879409dccef9,2500,fixed,3,0.3744513908019385,0.40282179537731055,0.11057780626386339,279.36287744839984,26649.333333333332,0.0,0.0,0.2641230501174197,0.25849050793965683,0.08924877138220164,96.41128411467899,74.55348564770277,0.0,0.0
9ee5879409dccef9,5000,evidence,3,0.07919186200016695,0.10586348439135272,0.0020030298003301927,136.6769782702128,14308.666666666666,0.0,0.0,0.06236523977526843,0.03429893805526165,0.00045219209869274806,18.730441057671786,176.14829610933575,0.0,0.0
9ee5879409dccef9,5000,fixed,3,0.39126439902447185,0.40547537127887134,0.1551104662751497,171.87402733167013,51720.333333333336,0.0,0.0,0.36412971332803734,0.356258797263082,0.21441570248925224,34.47300131809466,127.78714941478097,0.0,0.0
